ID,DAM,LAKE,STREAM,CAPACITY (AF),YEAR FILL
USL,Upper San Leandro,U San Leandro R,Alameda Creek,37960,
BQC,Bouquet Canyon,Bouquet Reservoir,Bouquet Creek,36505,
MCO,McCloud,McCloud Reservoir,McCloud River,35300,
RDN,Redinger,Redinger Lake,San Joaquin River,35000,
BRT,Barrett,Barrett Lake,Cottonwood Creek,34805,
PT7,Pit No. 7,Pit No. 7,Pit River,34610,
LBS,Los Banos,Los Banos Reservoir,San Joaquin River,34600,
KNT,Kent,Kent Lake,Lagunitas Creek,32900,
HNN,Lake Hennessey,Lake Hennessey,Conn Creek,31000,
HDG,Lake Hodges,Lake Hodges,San Dieguito River,30251,
PRS,Prosser,Prosser Reservoir,Prosser Creek,29800,
STD,Sutherland,Sutherland Lake,Santa Ysabel Creek,29508,
CLC,Clifton Court Forebay,null,Old River,29000,
MDO,Modesto Reservoir,,Tuolumne River,29000,
ENR,Eleanor,Lake Eleanor,Tuolumne River,28600,
SW3,Sweetwater,Sweetwater Reservoir,Sweetwater Creek,27700,
SLN,Salinas,Santa Margarita Lake,Salinas River,26000,
LVD,Lake Loveland,Lake Loveland,Sweetwater River,25400,
SGC,Santiago Creek,,Santiago Creek,25000,
MMW,Indian Ole,Mountain Meadows,N Fork Feather River Tributary,24800,
IRC,Iron Canyon,Iron Canyon Reservoir,Pit River Tribuatary,24300,
OLH,Olivenhain,null,Escondido Creek,24000,
KES,Keswick,Keswick Reservoir,Sacramento River,23772,
CYC,Coyote Percolation,Coyote Reservoir,Coyote Creek,23666,
ANT,Antelope,Antelope,Indian Creek,22566,
NCA,Nicasio,Nicasio Reservoir,Nicasio Creek,22400,
CPL,Caples,Caples Lake,Silver Fork American River,22340,
LNG,Lexington,Los Gatos Creek,Los Gatos Creek,21430,
MRT,Martis Creek Reservoir,Martis Creek,Martis Creek,20400,
EDN,Mark Edson,Stumpy Meadows Lake,Rubicon River,20000,1965
SNN,San Andreas,San Andreas Lake,San Mateo Creek Tributary,19027,
SWB,Main Strawberry,Pinecrest Lake,S Fork Stanislaus,18312,
INL,Independence,Independence Lake,Independence Creek,17500,
INP,Independence,Independence Lake,Independence Creek,17295,
GLK,Gem Lake,Gem Lake,Rush Creek,17228,
SLB,Slab Creek,Slab Creek Reservoir,S Fork American River,16600,
TNM,Tinemaha,Tinemaha Reservoir,Owens River,16405,
PT6,Pit No. 6,Pit No. 6,Pit River,15890,
VLP,Villa Park,Villa Park Reservoir,Santiago Creek,15600,
RLF,Relief,Relief Reservoir,M Fork Stanislaus River,15554,
MAR,Mariposa Creek,Mariposa Creek Dam,Mariposa Creek,15000,
LEW,Lewiston,Lewiston Lake,Trinity River,14660,
HMT,Lake Hemet,Lake Hemet,San Jacinto River,14000,
FRL,French Lake,French Lake,Canyon Creek,13940,
THD,Thermalito Diversion Pool,null,Feather River,13328,
SLK,South Lake,South Lake,Bishop Creek,12900,
RLC,Railroad Canyon,Railroad Canyon Reservoir,San Jacinto River,11847,
CUY,Cuyamaca,Cuyamaca Lake,Boulder Creek,11740,
SLJ,Soulajule,Soulajule,San Francisco Bay,10700,
CGS,Cogswell,Cogswell Reservoir,W Fork San Gabriel River,10438,
DNL,Donner,Donner Lake,Truckee River,10300,
CHB,Chabot,Lake Chabot,San Leandro Creek,10281,
GBL,Gibraltar,Gibraltar Lake,Santa Ynez River,9998,
JNN,Chet Harrit,Lake Jennings,Quail Canyon Creek,9790,
CRO,Calero,Calero Reservoir,Calero Creek,9738,
MCS,McSwain,Lake McSwain,Merced River,9730,
DNN,Donner,Donner Lake,Truckee River,9700,
UVA,Uvas,Uvas Reservoir,Uvas Creek,9688,
SDB,Saddlebag,Saddlebag Lake,Lee Vining Creek,9465,
NAT,Natoma,Lake Natoma,American River,9000,
NWL,Newell Creek,null,Newell Creek,8991,
APN,Alpine,Alpine Lake,Lagunitas Creek,8892,
SIV,Silver,Silver Lake,Silver Fork American River,8640,
LVY,Lake Valley,Lake Valley Reservoir,N Fork American River,8127,
EJC,Elmer J Chesbro,null,Llagas Creek,8086,
BAR,Bear,null,Bear Creek,7700,
MMR,Miramar,Miramar,none,6682,
LYS,Lyons,Lyons Reservoir,S Fork Stanislaus River,6228,
AST,Austrian,Lake Austrian,Los Gatos Creek,6200,
SPC,Spring Creek,Spring Creek Debris Dam,Spring Creek,5874,
QUL,Quail,Quail Lake,none,5654,
CMB,Combie,Lake Combie,Bear River,5555,
BTH,Bethany Forebay,Bethany Forebay,Delta,5250,
JML,Juncal,Jameson Lake,Santa Ynez River,4968,
MRR,Murray,Murray Reservoir,Chaparral Canyon,4684,
LEA,Lake Alpine,Lake Alpine,Silver Creek,4600,
LRK,Littlerock,null,Littlerock Creek,4600,
BMP,Bon Tempe,Bon Tempe Reservoir,Lagunitas Creek,4300,
LFY,Lafayette,Lafayette,Lafayette Creek,4250,
KRH,Kerckhoff Diversion,Kerckhoff Reservoir,San Joaquin,4200,
SEC,Stevens Creek,Stevens Creek Reservoir,Stevens Creek,3800,
OWN,Owens Creek,Owens Creek Dam,Owens Creek,3600,
GDR,Guadalupe,Guadalupe Reservoir,Guadalupe Creek,3320,
JNC,Junction,null,Silver Creek,3250,
UTI,Utica,Utica Reservoir,NF Stanislaus River,2400,
MAT,Matilija,Matilija Reservoir,Matilija Creek,1800,
BHC,Brush Creek,null,Brush Creek,1530,
RBL,Rubicon Lake,Rubicon Lake,Rubicon River,1450,
GLL,Gerle Lake,Gerle Lake,Gerle Creek,1200,
BIL,Buck Island,null,Little Rubicon Creek,1070,
SOL,Solano,Lake Solano,Putah Creek,720,
VAR,Van Arsdale,Van Arsdale Reservoir,Eel River,700,
GDW,Goodwin,null,Stanislaus River,500,
LGR,La Grange,null,Tuolumne River,500,
LGT,Lagunitas,Lagunitas Lake,Lagunitas Creek,341,
CMI,Camino,null,Silver Creek,275,
